Locus Tag	Name	FDR (Mouse)	logFC (Mouse)	Fitness (Mouse)	FDR (Pig)	logFC (Pig)	Fitness (Pig)	FDR (Chicken)	logFC (Chicken)	Fitness (Chicken)	FDR (Cattle)	logFC (Cattle)	Fitness (Cattle)
SL1344_2890	SL1344_2890	0.828837157	-0.404418402	0	0.467155406	0.844788522	0	0.823403111	0.750151906	0	0.892963974	0.110555089	0
SL1344_2891	SL1344_2891	na	na	3	0.446738708	-1.316740559	0	1	0.018634349	0	0.00559695	1.924982154	1
SL1344_2892	SL1344_2892	0.898696664	0.282718213	0	0.235491862	2.452235509	0	0.410306162	1.569643474	0	0.007558965	1.784105626	1
SL1344_2893	SL1344_2893	0.889787588	-0.344966233	0	0.0000324	-3.861869081	2	0.577700078	1.349239831	0	0.357789105	-0.731439167	0
SL1344_2894	hyi	0.945291813	0.190208513	0	na	na	3	na	na	3	na	na	3
SL1344_2896	ygbK	0.849220686	-0.329634882	0	0.014187762	-2.461938474	2	0.702795238	1.048527647	0	0.095100715	1.171902641	0
SL1344_2898	ygbI	na	na	3	0.532913362	0.806166921	0	0.424436313	-1.256057414	0	0.152520233	0.984383451	0
SL1344_2901	SL1344_2901	0.926192534	0.274193101	0	6.89E-09	-5.99887946	2	0.780353432	0.88008327	0	0.042838316	1.568916896	1
SL1344_2902	SL1344_2902	na	na	3	0.657009687	1.26903788	0	0.780936027	0.889799566	0	na	na	3
SL1344_2903	rpoS	5.11E-17	-5.122701336	2	8.68E-08	-15	2	2.78E-09	-15	2	2.24E-34	-15	2
SL1344_2904	nlpD	0.00000013	-3.121699199	2	na	na	3	na	na	3	na	na	3
SL1344_2905	pcm	na	na	3	4.90E-12	-15	2	0.00000571	-4.955489421	2	0.035473338	1.133442074	1
SL1344_2906	surE	na	na	3	0.440822825	1.737320021	0	0.228687174	1.95812353	0	0.00492193	2.863559039	1
SL1344_2909	ispD	4.73E-13	-3.97196353	2	na	na	3	na	na	3	na	na	3
SL1344_2911	ygbE	0.389495354	0.896684616	0	0.268721915	2.427878608	0	0.827655945	0.742511177	0	0.144346296	1.095124461	0
SL1344_2912	cysC	1	0.118523972	0	0.453315652	-1.0142253	0	0.491593758	1.429971941	0	0.013810999	1.751564749	1
SL1344_2913	cysN	0.836393176	0.898119655	0	0.557422627	0.723559331	0	0.843433482	0.723281511	0	0.004426873	-1.600896589	2
SL1344_2914	cysD	0.510664052	0.906421159	0	na	na	3	na	na	3	na	na	3
SL1344_2915	iap	0.893571686	0.496696312	0	0.364893019	1.511173165	0	0.947995498	0.810488436	0	0.000647868	2.388734871	1
SL1344_2917	SL1344_2917	0.707201779	-0.522363192	0	0.447632913	1.811512548	0	0.91194523	-0.352714561	0	0.004430879	2.46197082	1
SL1344_2918	ygcH	na	na	3	0.861030093	-0.238650247	0	0.890650054	0.557935329	0	0.014466075	1.85711892	1
SL1344_2919	SL1344_2919	0.962686503	-0.148344192	0	0.225324144	1.604328771	0	0.97836283	-0.182485069	0	5.88E-08	-3.614252938	2
SL1344_2920	yghJ	0.786984527	0.465538267	0	0.709391564	0.589787009	0	1	0.07007357	0	0.562565387	0.94190941	0
SL1344_2923	ygcB	0.774135455	-0.417394401	0	0.000000218	-6.496584617	2	5.72E-09	-7.562709578	2	3.27E-31	-15	2
SL1344_2924	sopD	0.195360851	1.143675019	0	na	na	3	na	na	3	na	na	3
SL1344_2925	cysH	0.917196048	-0.21700061	0	0.0000207	-15	2	5.78E-11	-15	2	0.010115118	-2.097750245	2
SL1344_2927	cysJ	0.732784077	-0.464940474	0	na	na	3	na	na	3	na	na	3
SL1344_2928	ptpS	0.038980434	-1.57421166	2	na	na	3	na	na	3	na	na	3
SL1344_2929	SL1344_2929	0.85626744	0.559696906	0	na	na	3	na	na	3	na	na	3
SL1344_2930	ygcF	0.001558085	-1.865937644	2	0.747703535	0.412825342	0	0.489571746	1.835503798	0	0.09317058	1.390844719	0
SL1344_2933	mazG	0.488564088	-1.193326529	0	na	na	3	na	na	3	na	na	3
SL1344_2937	relA	0.007046064	-1.683714187	2	0.297003122	-1.129002055	0	9.91E-08	-5.772572828	2	0.01041129	1.617009331	1
SL1344_2938	rumA	0.298756667	-0.951557291	0	0.515821185	1.164954707	0	0.940356423	0.529880958	0	0.049865665	1.49224345	1
SL1344_2939	barA	0.0000374	-2.397889476	2	2.42E-10	-7.616756583	2	0.000000133	-6.131827763	2	2.22E-34	-15	2
SL1344_2940	SL1344_2940	0.74176943	1.271331939	0	0.589291563	0.726032983	0	0.844257471	0.96185172	0	0.001696478	1.906077593	1
SL1344_2941	gudD	na	na	3	0.921900343	0.158204698	0	0.837647487	0.727400821	0	0.053666338	1.443872108	0
SL1344_2942	ygcY	0.738910887	-0.466628723	0	0.063100201	2.327222124	0	0.641128707	1.16138331	0	0.148915563	1.141028621	0
SL1344_2943	gudT	0.332307045	-0.88368436	0	0.56221989	0.871485259	0	0.166511964	-1.724524828	0	0.000100099	-2.144546007	2
SL1344_2944	SL1344_2944	na	na	3	0.513769234	1.511877594	0	0.775614124	1.098808846	0	0.000832929	2.533469317	1
SL1344_2945	yqcB	0.708483376	0.563974141	0	0.705644006	0.489327703	0	0.677814943	1.090035895	0	0.002448176	2.363731108	1
SL1344_2947	syd	0.223435458	-1.026148913	0	0.700021413	0.542400461	0	0.557094345	1.307085806	0	0.275231989	0.825961669	0
SL1344_2948	queF	0.32003779	-0.938821943	0	na	na	3	na	na	3	na	na	3
SL1344_2949	ygdH	0.614357207	0.711540325	0	0.24159589	-1.304698732	0	0.509432891	1.385836813	0	0.372415098	0.708236057	0
SL1344_2950	sdaC	0.325995874	-0.979885869	0	0.346429596	1.647905923	0	0.82453028	0.762829319	0	8.84E-33	-15	2
SL1344_2951	sdaB	0.880689167	-0.281693864	0	0.135372453	-15	0	0.230720183	-15	0	0.00000258	-15	2
SL1344_2952	exo	0.62109275	0.649520812	0	0.540073691	0.740723314	0	0.581205993	1.524188986	0	0.105518081	1.216946904	0
SL1344_2953	fucO	na	na	3	0.426704313	1.638750894	0	0.682278748	1.089750433	0	0.075725777	1.360027558	0
SL1344_2954	fucA	na	na	3	0.000256971	-3.783866569	2	0.000271179	-3.857329991	2	0.014341586	-1.59744288	2
SL1344_2955	fucP	0.448166433	0.829358664	0	0.00000315	-15	2	0.013044813	-2.791791343	2	9.46E-28	-7.219315446	2
SL1344_2956	fucI	0.753235576	0.549051149	0	0.875677545	0.237028655	0	0.818114651	0.779385803	0	0.090897981	0.981614889	0
SL1344_2957	fucK	0.633769108	1.094794172	0	0.716211786	-0.461016919	0	0.635377718	1.308589914	0	0.007558965	2.15007193	1
SL1344_2958	fucU	0.035352872	-1.430717967	2	na	na	3	na	na	3	na	na	3
SL1344_2959	fucR	0.646753128	0.884225067	0	0.914454249	0.160104679	0	0.944282384	0.376912919	0	0.50843117	-0.378952772	0
SL1344_2960	ygdE	na	na	3	0.142593696	1.581920223	0	0.218224437	2.021532329	0	0.000770443	2.714813117	1
SL1344_2961	ygdD	0.594984358	-0.613769536	0	0.892746592	0.220568402	0	0.934228574	-0.342020446	0	0.789464054	0.220148168	0
SL1344_2962	gcvA	na	na	3	0.024188354	-2.468090701	2	0.193719639	-1.751860466	0	2.53E-10	-3.941884215	2
SL1344_2964	csdA	0.787105484	-0.432774487	0	0.091988299	-1.628441137	0	0.801948059	-0.648445082	0	6.43E-22	-3.52423986	2
SL1344_2965	ygdK	na	na	3	0.585165628	0.946146264	0	0.961505079	0.309589753	0	0.324335671	0.74673978	0
SL1344_2966	SL1344_2966	0.845606835	0.38410801	0	0.21016457	1.357907392	0	0.585446402	1.267481101	0	0.009695141	2.143715076	1
SL1344_2967	ygdL	0.906329516	0.666783473	0	0.808323865	-0.328671943	0	0.803013428	0.818064232	0	0.397584275	0.472542584	0
SL1344_2968	mltA	0.976641667	-0.062394801	0	0.540009122	1.26181913	0	0.783823766	0.87193533	0	0.015002469	1.239705645	1
SL1344_2969	amiC	0.400152361	-0.842036237	0	0.000286852	-3.379476314	2	0.000587955	-3.709328833	2	2.43E-10	-3.39901354	2
SL1344_2970	argA	0.034742866	-1.438171209	2	na	na	3	na	na	3	na	na	3
SL1344_2971	recD	3.18E-19	-6.074278844	2	1.17E-09	-15	2	4.47E-11	-9.978462105	2	2.19E-24	-6.583744761	2
SL1344_2973	ptr	0.116486119	-1.187455618	0	0.18995147	1.768452313	0	0.804130081	0.811160196	0	0.535686234	0.461903469	0
SL1344_2977	comO	0.746909333	0.502468727	0	0.177767341	1.715941881	0	0.71817091	1.020612527	0	na	na	3
SL1344_2978	comN	0.637528253	-0.605705509	0	0.1813658	1.547062343	0	0.331225411	1.736424295	0	0.011671485	1.820867109	1
SL1344_2981	ptsP	0.625442064	0.65468582	0	0.453773874	1.658678887	0	0.82453028	0.772326101	0	0.031767746	1.909672208	1
SL1344_2982	nudH	5.06E-12	-4.209618845	2	2.09E-25	-6.972312486	2	0.0000483	-4.474392637	2	na	na	3
SL1344_2983	mutH	0.989935523	-0.02068808	0	0.801644213	0.355126573	0	0.586287472	-1.03193207	0	0.745042071	0.266591223	0
SL1344_2984	ygdQ	0.908259231	0.27173908	0	na	na	3	na	na	3	na	na	3
SL1344_2986	tas	0.875265569	-0.285081595	0	0.443637078	-0.881563243	0	0.91194523	0.496618461	0	0.00808929	1.932748689	1
SL1344_2987	ygeD	0.50014075	0.761500965	0	0.434870308	1.000660423	0	0.769069071	1.48673531	0	na	na	3
SL1344_2988	aas	0.203833706	-1.067710933	0	0.561345191	0.891009419	0	0.611243219	1.22918346	0	0.254384699	0.828762822	0
SL1344_2989	galR	0.62204013	-0.788667426	0	0.00259185	-5.113787455	2	0.00000157	-6.234867772	2	1.91E-25	-15	2
SL1344_2990	SL1344_2990	0.73160572	0.600085973	0	0.024852969	2.500098404	1	0.479369901	1.454603789	0	0.000918089	-1.667366249	2
SL1344_2991	lysA	na	na	3	0.022501806	-2.659745257	2	0.823240134	-1.120514261	0	0.002374185	-1.664484797	2
SL1344_2992	lysR	0.658858462	-0.566779879	0	na	na	3	na	na	3	na	na	3
SL1344_2994	araE	0.663576082	0.607915437	0	0.016979359	-2.159292213	2	0.476666227	-1.204637835	0	0.000464952	-1.849466602	2
SL1344_2995	kduD	0.446808649	0.846012579	0	0.455352041	-0.870774634	0	0.903017512	0.534736824	0	na	na	3
SL1344_2996	kduI	0.308639031	-15	0	0.00000186	-2.670918807	2	0.37147979	-1.453254941	0	3.77E-32	-15	2
SL1344_2997	yqeF	na	na	3	0.401353415	1.34437253	0	0.951272457	0.363473053	0	0.22135582	0.651281682	0
SL1344_2998	SL1344_2998	0.917598564	-0.206263746	0	na	na	3	na	na	3	na	na	3
SL1344_2999	SL1344_2999	0.569565827	-0.652013364	0	0.626343825	0.766662435	0	0.973053855	0.256227078	0	na	na	3
SL1344_3000	SL1344_3000	0.343682691	0.947900014	0	9.07E-12	-15	2	1.02E-09	-15	2	1.32E-58	-15	2
SL1344_3001	yohL	0.646753128	0.625249839	0	0.635588306	1.346691352	0	0.818854765	0.789983492	0	na	na	3
SL1344_3002	yohM	0.830854396	-0.366241353	0	na	na	3	na	na	3	na	na	3
SL1344_3003	STM3025	0.527709677	0.752087348	0	0.256677288	1.471029114	0	0.860314059	0.686441395	0	0.015015853	1.712382057	1
SL1344_3004	STM3025.1N	0.396368559	0.881918267	0	0.146758518	-1.448624121	0	0.068929895	-2.31353313	0	0.00000013	-3.17961876	2
SL1344_3005	STM3026	0.783489152	0.45589724	0	na	na	3	na	na	3	na	na	3
SL1344_3006	stdC	0.852684959	-0.319152388	0	0.616237603	0.914188897	0	0.990670462	-0.029153507	0	na	na	3
SL1344_3007	stdB	0.989935523	0.064001102	0	0.84886047	0.280396656	0	0.642981545	1.152337316	0	0.448292634	-0.423790048	0
SL1344_3008	stdA	0.870679303	-0.291997635	0	na	na	3	na	na	3	na	na	3
SL1344_3009	SL1344_3009	0.080756895	-1.275419639	0	1.34E-10	-15	2	1.82E-10	-15	2	2.40E-34	-15	2
SL1344_3010	SL1344_3010	0.292643593	-0.941562942	0	1.57E-10	-15	2	2.85E-10	-9.421568487	2	9.32E-65	-15	2
SL1344_3013	SL1344_3013	0.998377499	0.042502515	0	0.822031979	0.376004768	0	0.594261244	1.263532809	0	0.023583458	1.533649951	1
SL1344_3014	SL1344_3014	0.788233014	-0.531771078	0	na	na	3	na	na	3	na	na	3
SL1344_3015	idi	0.949308104	0.180991113	0	0.820269122	0.413481128	0	0.678148631	1.532879291	0	na	na	3
SL1344_3018	recJ	0.000026	-2.407164363	2	0.000000119	-5.739785501	2	0.000000675	-5.751510315	2	8.92E-11	-3.351723059	2
SL1344_3019	dsbC	0.377319405	0.909920722	0	0.438686293	-0.894647	0	0.404957118	-1.299670747	0	0.19656289	0.966416402	0
SL1344_3020	xerD	3.67E-29	-8.131687521	2	0.108801772	-15	0	0.00000995	-15	2	1.42E-24	-15	2
SL1344_3021	fldB	0.00000342	-2.653733511	2	0.485314093	1.183042966	0	0.615047489	1.224631192	0	0.351709477	-0.717680257	0
SL1344_3022	ygfX	na	na	3	0.252500828	-1.212109607	0	0.528674792	1.362531301	0	0.031145676	1.864182313	1
SL1344_3025	yqfA	na	na	3	0.482409692	1.170861512	0	0.57879544	1.285917899	0	0.265683893	0.930426941	0
SL1344_3026	yqfB	0.962686503	0.143802864	0	0.043405467	-1.889953828	2	0.82453028	0.763361924	0	0.012637281	-1.534104707	2
SL1344_3027	bglA	0.74176943	-0.4736341	0	0.851050804	0.268036458	0	0.877282289	0.600307176	0	0.000492713	-1.683039158	2
SL1344_3028	SL1344_3028	0.723863817	0.528384292	0	0.000000978	-5.376442254	2	0.085546946	-2.058458536	0	1.61E-17	-6.304179518	2
SL1344_3029	gcvP	0.000316622	-2.063388393	2	0.248976466	1.458003331	0	0.70572347	1.045970452	0	0.0000022	-2.609004366	2
SL1344_3031	gcvT	0.080756895	-1.259646363	0	na	na	3	na	na	3	na	na	3
SL1344_3032	visC	2.36E-08	-3.34549135	2	0.206332605	-1.300324386	0	0.002128027	-3.274284463	2	8.61E-08	-3.897098676	2
SL1344_3033	ubiH	na	na	3	5.94E-20	-7.309807403	2	0.00000984	-4.717429275	2	1.04E-15	-15	2
SL1344_3034	pepP	0.549780732	-0.675962014	0	0.000000406	-6.442606996	2	9.33E-08	-6.135585963	2	1.23E-33	-15	2
SL1344_3037	ygfA	1	0.064942944	0	na	na	3	na	na	3	na	na	3
SL1344_3038	serA	0.773028725	-0.435404802	0	0.295498003	2.536075751	0	0.122055884	-1.920306331	0	0.366911195	-0.581781552	0
SL1344_3040	iciA	0.24409264	1.092959132	0	0.191561893	1.351478201	0	0.965644393	-0.118297765	0	0.373733261	0.572784021	0
SL1344_3041	yggE	0.900409703	0.314721373	0	0.820269122	0.30805592	0	0.995663873	0.209057623	0	0.00218854	2.210649241	1
SL1344_3043	yggB	0.940054568	-0.160771311	0	0.863589119	0.39086742	0	0.878411876	-0.458053714	0	0.005824171	-1.571239817	2
SL1344_3046	epd	2.93E-10	-3.659393492	2	0.644125	-0.774933444	0	0.178627093	-1.73216689	0	0.510855326	0.370078292	0
SL1344_3047	SL1344_3047	na	na	3	0.860783264	0.288211109	0	0.833746544	0.746952229	0	0.009682099	2.093127463	1
SL1344_3048	SL1344_3048	0.854078954	-0.333137954	0	na	na	3	na	na	3	na	na	3
SL1344_3049	SL1344_3049	na	na	3	0.288553053	1.555588497	0	0.545471234	1.321737142	0	0.404443728	-0.635163676	0
SL1344_3050	SL1344_3050	0.850419208	0.360458901	0	na	na	3	0.973053855	0.253215072	0	0.103983786	1.253501331	0
SL1344_3051	SL1344_3051	na	na	3	0.708322125	0.637597199	0	0.940356423	0.387564681	0	0.104145916	0.972159436	0
SL1344_3052	tktA	0.000182878	-2.02966928	2	0.000000408	-5.021788689	2	1.21E-11	-15	2	6.52E-23	-3.503761983	2
SL1344_3053	yggG	na	na	3	0.786440358	-0.371286242	0	0.690401395	1.085508319	0	0.789464054	-0.205616005	0
SL1344_3054	speB	0.043603512	-1.415821116	2	0.000226978	-4.166167282	2	0.02132356	-2.516578812	2	1.85E-22	-3.500999193	2
SL1344_3055	SL1344_3055	0.987654906	-0.027325335	0	0.744199587	0.450379413	0	0.885008871	-0.438286227	0	0.197803612	-0.954464385	0
SL1344_3056	SL1344_3056	0.800539331	0.440494999	0	na	na	3	na	na	3	na	na	3
SL1344_3057	SL1344_3057	0.805952021	0.422068884	0	na	na	3	na	na	3	na	na	3
SL1344_3058	SL1344_3058	0.02306693	1.644386789	1	0.728551512	0.902017734	0	0.947805491	0.364392315	0	0.023756646	-1.192749258	2
SL1344_3059	SL1344_3059	0.828837157	0.396561004	0	1.44E-22	-5.216841378	2	0.000195368	-4.104922581	2	0.017218933	-1.27775405	2
SL1344_3060	SL1344_3060	0.971824034	0.11242538	0	0.294673806	-1.988337082	0	0.0000152	-6.396331195	2	0.588754109	-0.307989925	0
SL1344_3061	SL1344_3061	na	na	3	0.000000301	-15	2	2.78E-09	-15	2	3.94E-32	-15	2
SL1344_3062	speA	0.454875052	-0.810747839	0	0.015651669	-2.253059838	2	0.001810053	-3.294847061	2	0.00000182	-1.851780664	2
SL1344_3064	yqgD	2.78E-26	-6.24778414	2	na	na	3	na	na	3	na	na	3
SL1344_3066	galP	0.390497738	-0.816274509	0	na	na	3	na	na	3	na	na	3
SL1344_3067	sprT	0.998889279	0.139384452	0	na	na	3	na	na	3	na	na	3
SL1344_3068	endA	0.926605709	-0.19289663	0	na	na	3	na	na	3	na	na	3
SL1344_3069	yggJ	0.270195212	-1.080082289	0	na	na	3	na	na	3	na	na	3
SL1344_3070	gshB	na	na	3	0.150166156	-1.565686399	0	0.000846917	-3.614884975	2	na	na	3
SL1344_3073	SL1344_3073	0.580610256	0.707418163	0	na	na	3	na	na	3	na	na	3
SL1344_3074	pilT	0.700246676	0.566940128	0	0.672343441	0.577565289	0	0.421421939	1.548473064	0	0.877814438	-0.131410044	0
SL1344_3075	yggS	0.526512565	-0.696143613	0	0.929686596	-0.206848234	0	0.946239127	-0.234431537	0	0.769145887	0.184316242	0
SL1344_3076	yggT	0.969217178	-0.088437574	0	na	na	3	na	na	3	na	na	3
SL1344_3077	yggU	0.562089364	0.728078252	0	na	na	3	na	na	3	na	na	3
SL1344_3079	yggW	0.898670915	-0.245624495	0	0.835754992	0.30406506	0	0.178627093	-1.76164454	0	0.160002029	1.051844652	0
SL1344_3080	yggM	0.806541852	-0.401857931	0	0.627768578	0.879371552	0	1	0.123016177	0	0.025651528	-1.337375809	2
SL1344_3081	ansB	0.746909333	0.578300358	0	0.616873348	0.959687842	0	0.947995498	0.330912034	0	0.178932473	-0.669891803	0
SL1344_3082	yggN	0.788915411	0.652924849	0	na	na	3	na	na	3	na	na	3
SL1344_3084	trmB	0.00000118	-2.84298421	2	0.866250971	-0.024335598	0	0.609460947	1.288295131	0	0.057570743	1.462058132	0
SL1344_3085	mutY	0.811067846	-0.590354217	0	0.566312272	1.106584916	0	0.660119268	1.120894281	0	0.61157309	0.40253341	0
SL1344_3086	yggX	0.153873208	-1.099353899	0	na	na	3	na	na	3	na	na	3
SL1344_3087	mltC	0.523951979	0.755667261	0	0.320448356	1.350769682	0	0.99696018	0.35469154	0	0.057956867	-0.99415192	0
SL1344_3088	nupG	0.000737295	-2.085451654	2	0.516429797	0.783608505	0	0.587453267	1.261836151	0	0.026931906	1.190645932	1
SL1344_3089	speC	0.618430564	0.856241886	0	0.605761064	-0.663410244	0	0.678148631	1.08715103	0	0.035680156	1.718914619	1
SL1344_3090	yqgA	0.71479446	-0.489145794	0	0.627177283	0.948790986	0	0.86055029	-0.515502212	0	0.109319915	-0.868480211	0
SL1344_3091	SL1344_3091	0.715531049	0.568356474	0	0.608467549	0.915199023	0	0.973053855	0.24021586	0	0.63896545	0.534238195	0
SL1344_3092	SL1344_3092	0.002578953	-1.833390931	2	0.0000259	-4.098652595	2	3.65E-08	-6.959700617	2	6.09E-34	-15	2
SL1344_3093	SL1344_3093	1.14E-08	-3.102427101	2	0.308280331	-1.437063806	0	0.817925759	0.781269201	0	0.0000407	-2.946922412	2
SL1344_3094	SL1344_3094	na	na	3	0.60411843	-0.641775776	0	0.800100391	-0.654564769	0	4.09E-30	-5.479772299	2
SL1344_3095	SL1344_3095	0.00000237	-2.671303143	2	0.193263454	-1.334063652	0	0.934228574	-0.289373739	0	1.23E-17	-4.890858774	2
SL1344_3096	SL1344_3096	0.242948509	1.073569606	0	na	na	3	0.221754868	-1.619481821	0	0.001468607	-2.169983391	2
SL1344_3097	SL1344_3097	0.865305787	0.343044363	0	4.26E-08	-15	2	4.08E-10	-9.331236167	2	2.94E-33	-15	2
SL1344_3098	SL1344_3098	0.732196228	-0.47428034	0	5.39E-18	-5.746617741	2	7.37E-10	-9.104720653	2	4.68E-42	-6.60212652	2
SL1344_3099	SL1344_3099	0.625442064	-0.594785024	0	0.00037053	-15	2	0.00000009	-8.099821854	2	2.22E-34	-15	2
SL1344_3100	SL1344_3100	0.474439895	0.828574609	0	1.57E-09	-6.938872151	2	0.091120964	-1.982919152	0	5.58E-61	-15	2
SL1344_3101	SL1344_3101	na	na	3	0.002413072	-2.69591887	2	0.93887751	-0.381341591	0	3.41E-12	-4.189796919	2
SL1344_3102	ordL	0.75950174	-0.442781165	0	0.0000223	-4.116441908	2	0.055849364	-2.206396543	0	3.08E-10	-3.530335565	2
SL1344_3103	SL1344_3103	0.695564713	0.661773378	0	0.321955666	1.680119768	0	0.459479179	-1.221382019	0	0.393961809	0.642854385	0
SL1344_3104	iraD	0.864249992	-0.301319912	0	0.585201777	0.782337873	0	0.594161039	1.245537578	0	0.221459646	0.732210104	0
SL1344_3105	SL1344_3105	0.812575091	0.41424964	0	0.001072753	-3.425769966	2	0.456976822	-1.293819577	0	1.01E-20	-5.395922863	2
SL1344_3106	SL1344_3106	0.852515496	-0.326181446	0	1.70E-26	-8.294125355	2	7.19E-10	-15	2	4.54E-71	-15	2
SL1344_3107	SL1344_3107	0.072037365	1.481073397	0	1.81E-09	-15	2	3.39E-09	-7.277649679	2	3.48E-32	-15	2
SL1344_3108	exuT	0.912142996	-0.254815931	0	na	na	3	6.89E-10	-8.383965286	2	9.49E-33	-15	2
SL1344_3109	uxuA	0.330236091	-1.004278769	0	na	na	3	na	na	3	na	na	3
SL1344_3110	uxuB	0.785610821	0.45530403	0	0.984040911	0.467020253	0	0.811468972	-0.617423505	0	0.717720461	0.296885515	0
SL1344_3111	uxaC	0.041598154	-1.427881004	2	0.549654711	-1.342639546	0	0.403915164	-1.895792371	0	9.79E-15	-15	2
SL1344_3112	SL1344_3112	0.492539789	0.926857293	0	5.64E-18	-4.948645846	2	0.000000254	-6.222077604	2	2.31E-34	-15	2
SL1344_3113	gsp	0.25064222	1.083111748	0	0.798675934	-0.121387021	0	0.908560129	0.501004654	0	0.004813139	-1.512523046	2
SL1344_3114	yghU	0.637992817	-0.875436548	0	0.179292114	2.730486664	0	1	0.061564959	0	0.00118022	-1.671128152	2
SL1344_3116	SL1344_3116	0.930788254	-0.291061071	0	0.8479189	0.267153027	0	0.892807526	0.572997289	0	0.350582084	0.691520856	0
SL1344_3117	hybG	0.643904621	0.652805625	0	na	na	3	na	na	3	na	na	3
SL1344_3118	hybF	na	na	3	0.42065334	1.894235553	0	0.010662139	-2.781741691	2	0.035680156	1.605352552	1
SL1344_3120	hybD	0.120527619	1.313001522	0	0.171750835	1.622112191	0	1.18E-10	-15	2	0.311125106	0.759454021	0
SL1344_3121	hybC	0.97279691	0.176893326	0	0.594763831	0.950550194	0	0.000000266	-5.82507387	2	0.568160511	0.464772517	0
SL1344_3122	hybB	0.917113324	0.244899329	0	0.603233062	0.692515118	0	0.000000135	-6.276935116	2	0.081822639	1.454321371	0
SL1344_3123	hybA	0.216190628	1.124096589	0	0.48514132	1.608964725	0	0.000000011	-7.819409276	2	0.066895296	1.686645897	0
SL1344_3124	hypO	0.173602476	1.175735183	0	0.000392398	-4.466384379	2	7.19E-11	-9.803923882	2	1.32E-45	-6.749124152	2
SL1344_3125	yghW	na	na	3	0.00000112	-4.592426247	2	0.0000171	-4.59134264	2	1.59E-11	-3.780896079	2
SL1344_3126	SL1344_3126	0.499707944	0.782641087	0	0.202131945	-1.307639708	0	0.000412345	-3.868271873	2	1.99E-13	-3.966269826	2
SL1344_3127	yqhA	0.902721387	-0.338701593	0	na	na	3	na	na	3	na	na	3
SL1344_3128	SL1344_3128	0.363903132	1.051005978	0	8.01E-11	-15	2	3.33E-10	-8.645151742	2	6.99E-62	-15	2
SL1344_3129	SL1344_3129	na	na	3	na	na	3	5.51E-09	-8.003748547	2	2.35E-31	-15	2
SL1344_3130	SL1344_3130	na	na	3	3.85E-16	-6.050369927	2	0.00380787	-3.13286404	2	na	na	3
SL1344_3131	yghA	0.670228151	-0.851355685	0	0.941393454	-0.42129649	0	0.585233567	1.266383604	0	0.938149708	0.33434504	0
SL1344_3133	exbB	0.184622268	-1.084622331	0	0.009226651	-3.408357434	2	0.0000182	-4.746138908	2	0.104065358	-0.929472728	0
SL1344_3135	metC	0.371048285	-0.834890574	0	0.027852638	-2.126147726	2	0.851434866	0.707011164	0	0.200075145	0.684003658	0
SL1344_3136	yghB	0.992062648	0.055759114	0	0.001255648	-2.94764683	2	0.728326774	1.363433921	0	0.001629475	2.594706405	1
SL1344_3137	yqhC	0.006949039	-1.725673131	2	na	na	3	na	na	3	na	na	3
SL1344_3138	yqhD	0.135021236	-1.162799811	0	0.773857828	-0.386074016	0	0.888348261	0.989436016	0	0.053706393	1.408256572	0
SL1344_3139	dkgA	na	na	3	0.725650688	0.450853555	0	0.970007104	0.257623418	0	0.780593833	0.234633126	0
SL1344_3140	SL1344_3140	0.259551112	1.043546998	0	0.890875241	-0.210834278	0	0.892979835	0.565968362	0	na	na	3
SL1344_3141	SL1344_3141	0.591758107	0.68119675	0	0.647710864	0.603649867	0	0.001818637	-3.43054691	2	2.21E-33	-15	2
SL1344_3142	ygiR	0.240783534	-1.428790238	0	0.00000403	-15	2	0.000000801	-6.954119585	2	2.97E-31	-15	2
SL1344_3144	SL1344_3144	0.820311917	0.407472256	0	0.000000196	-15	2	3.65E-08	-6.438552744	2	3.02E-34	-15	2
SL1344_3145	ygiK	0.663062154	-0.562044163	0	3.62E-08	-15	2	0.00000291	-5.272942529	2	1.18E-25	-7.001127637	2
SL1344_3146	sufI	0.609500885	-0.635944091	0	na	na	3	na	na	3	na	na	3
SL1344_3147	plsC	na	na	3	0.599095869	-0.644778972	0	0.917844659	0.487482349	0	0.827142454	0.19334989	0
SL1344_3149	SL1344_3149	0.836032566	-0.396880484	0	0.17586969	1.907174451	0	0.885008871	0.592689503	0	0.0507004	1.077962727	0
SL1344_3151	ygiX	na	na	3	0.115504833	-1.661876045	0	0.613189289	1.208459208	0	0.00138062	3.042464812	1
SL1344_3152	ygiY	0.006051843	-1.803067383	2	0.00000242	-5.294426679	2	4.82E-11	-15	2	na	na	3
SL1344_3153	mdaB	0.212295272	-1.045063944	0	na	na	3	na	na	3	na	na	3
SL1344_3155	parE	0.92149834	-0.218975004	0	na	na	3	na	na	3	na	na	3
SL1344_3156	yqiA	0.987654906	0.129909453	0	0.487620527	1.368687981	0	0.898962264	0.528733349	0	0.817957639	0.187134346	0
SL1344_3157	cpdA	0.10247426	1.730144713	0	0.863942457	-0.231768702	0	0.00021255	-3.945309852	2	0.043471264	-0.983067663	2
SL1344_3158	yqiB	na	na	3	0.649084628	0.855946873	0	0.750259634	0.941006718	0	0.049554501	-1.42177088	2
SL1344_3159	nudF	0.764389144	0.494406348	0	na	na	3	na	na	3	na	na	3
